Celsuis             Fahrenheit          Kelvin              
12.3                44.3                285.3               
5.5                 37.5                278.5               
15.6                47.6                288.6               
21.2                53.2                294.2               
16.8                48.8                289.8               
19.7                51.7                292.7               
22.3                54.3                295.3               
19.6                51.6                292.6               
14.8                46.8                287.8               
22                  54                  295                 
21.5                53.5                294.5               
17.6                49.6                290.6               
16.3                48.3                289.3               
18.7                50.7                291.7               
19.4                51.4                292.4               
12.8                44.8                285.8               
11.2                43.2                284.2               
8.9                 40.9                281.9               
17.5                49.5                290.5               
19.2                51.2                292.2               
11.6                43.6                284.6               
23.4                55.4                296.4               
